2024-05-08 13:38:14.208235,explorer.exe,1670,1f78,19,ffffffffffffffff,34,2f6f150,8
2024-05-08 13:38:14.239478,explorer.exe,1670,1f78,10aa,301aa,2,1,0
2024-05-08 13:38:14.270818,explorer.exe,1670,1f78,100e,60330,a91c,0,2f6efe0
2024-05-08 13:38:14.302156,explorer.exe,1670,1f78,5,2f6f2a0,18,0,2f6f348
2024-05-08 13:38:14.333409,explorer.exe,1670,1f78,5,2f6f4d0,18,0,2f6f4e8
2024-05-08 13:38:14.364602,explorer.exe,1670,1f78,100e,301aa,c018,0,2f6f2b0
2024-05-08 13:38:14.395703,explorer.exe,1670,1f78,100e,301aa,c018,0,2f6f0c0
2024-05-08 13:38:14.426941,explorer.exe,1670,1f78,1001,2f6f6c0,0,0,0
2024-05-08 13:38:14.458265,svchost.exe,3ac,1614,14b,1564,13,531e9fe970,1b0
2024-05-08 13:38:14.489479,lsass.exe,2e8,658,8c,67c,0,0,0
2024-05-08 13:38:14.520585,svchost.exe,3ac,1614,14b,1564,13,531e9fe720,1b0
2024-05-08 13:38:14.551965,lsass.exe,2e8,658,1a1,14,9,e54f57f448,4
2024-05-08 13:38:14.583309,svchost.exe,3ac,1614,14b,1524,13,531e9fe970,1b0
2024-05-08 13:38:14.614607,lsass.exe,2e8,658,d,fffffffffffffffe,2c,278312f60f8,8
2024-05-08 13:38:14.645835,svchost.exe,3ac,1614,14b,1524,13,531e9fe720,1b0
2024-05-08 13:38:14.677106,svchost.exe,3ac,1614,14b,16a4,13,531e9fe970,1b0
2024-05-08 13:38:14.708548,lsass.exe,2e8,658,4,5e8,0,e54f57dcc8,27830a7ead0
2024-05-08 13:38:14.739689,explorer.exe,1670,1718,1039,ffffffffc5010c13,1a0a065e,b70000,65e
2024-05-08 13:38:14.770683,explorer.exe,1670,1718,1035,ffffffffc5010c13,a0000,7,31eed60
2024-05-08 13:38:14.801913,explorer.exe,1670,1718,1054,ffffffffc5010c13,7ffb64b255f0,0,0
2024-05-08 13:38:14.833179,explorer.exe,1670,1718,102b,ffffffffeb010c95,44040b22,1,0
2024-05-08 13:38:14.864440,explorer.exe,1670,1718,1020,ffffffffeb010c95,0,0,0
2024-05-08 13:38:14.895608,explorer.exe,1670,1718,1009,ffffffffeb010c95,31ee750,eb,eb0c95
2024-05-08 13:38:14.926866,explorer.exe,1670,1718,103f,ffffffffeb010c95,7,31ee4d8,0
2024-05-08 13:38:14.958055,explorer.exe,1670,1718,103f,ffffffffeb010c95,7,31ee508,0
2024-05-08 13:38:14.989435,explorer.exe,1670,1718,102e,ffffffffeb010c95,0,5,f
2024-05-08 13:38:15.020574,explorer.exe,1670,1718,1023,ffffffffeb010c95,deb02c0,c95,c95
2024-05-08 13:38:15.051883,explorer.exe,1670,1718,1039,ffffffffc5010c13,58a00b4,b70000,b4
2024-05-08 13:38:15.083003,explorer.exe,1670,1718,1039,ffffffffc5010c13,1a0a065e,b70000,65e
2024-05-08 13:38:15.114380,explorer.exe,1670,1718,1035,ffffffffc5010c13,a0000,b,31eed60
2024-05-08 13:38:15.145494,explorer.exe,1670,1718,1054,ffffffffc5010c13,7ffb64b255f0,0,0
2024-05-08 13:38:15.176812,explorer.exe,1670,1718,102b,ffffffffec010c95,45040b22,1,0
2024-05-08 13:38:15.208099,explorer.exe,1670,1718,1020,ffffffffec010c95,0,0,0
2024-05-08 13:38:15.239458,explorer.exe,1670,1718,1009,ffffffffec010c95,31ee750,ec,ec0c95
2024-05-08 13:38:15.270621,explorer.exe,1670,1718,103f,ffffffffec010c95,7,31ee4d8,0
2024-05-08 13:38:15.301815,explorer.exe,1670,1718,103f,ffffffffec010c95,7,31ee508,0
2024-05-08 13:38:15.332947,explorer.exe,1670,1718,102e,ffffffffec010c95,0,5,f
2024-05-08 13:38:15.364191,explorer.exe,1670,1718,1023,ffffffffec010c95,deb02c0,c95,c95
2024-05-08 13:38:15.395695,explorer.exe,1670,1718,1039,ffffffffc5010c13,58a00b4,b70000,b4
2024-05-08 13:38:15.426820,explorer.exe,1670,1718,1039,ffffffffc5010c13,1a0a065e,b70000,65e
2024-05-08 13:38:15.457924,explorer.exe,1670,1718,1035,ffffffffc5010c13,a0000,a,31eed60
2024-05-08 13:38:15.489415,explorer.exe,1670,1718,1054,ffffffffc5010c13,7ffb64b255f0,0,0
2024-05-08 13:38:15.520411,explorer.exe,1670,1718,102b,ffffffffed010c95,46040b22,1,0
2024-05-08 13:38:15.551689,explorer.exe,1670,1718,1020,ffffffffed010c95,0,0,0
2024-05-08 13:38:15.583178,explorer.exe,1670,1718,1009,ffffffffed010c95,31ee750,ed,ed0c95
2024-05-08 13:38:15.614250,explorer.exe,1670,1718,103f,ffffffffed010c95,7,31ee4d8,0
2024-05-08 13:38:15.645446,explorer.exe,1670,1718,103f,ffffffffed010c95,7,31ee508,0
2024-05-08 13:38:15.676731,explorer.exe,1670,1718,102e,ffffffffed010c95,0,5,f
2024-05-08 13:38:15.708084,explorer.exe,1670,1718,1023,ffffffffed010c95,deb02c0,c95,c95
2024-05-08 13:38:15.739482,explorer.exe,1670,1718,1039,ffffffffc5010c13,58a00b4,b70000,b4
2024-05-08 13:38:15.770414,explorer.exe,1670,1718,1039,ffffffffc5010c13,1a0a065e,b70000,65e
2024-05-08 13:38:15.801592,explorer.exe,1670,1718,1035,ffffffffc5010c13,50000,31eeb78,ffffffffc5010c13
2024-05-08 13:38:15.833015,explorer.exe,1670,1718,1052,53050c94,68,31eed20,0
2024-05-08 13:38:15.864263,explorer.exe,1670,1718,1035,ffffffffc5010c13,a0000,7,31eed90
2024-05-08 13:38:15.895427,explorer.exe,1670,1718,1035,ffffffffc5010c13,50000,8,0
2024-05-08 13:38:15.926723,explorer.exe,1670,2008,1445,102e8,e46ed98,0,e46ead0
2024-05-08 13:38:15.957715,explorer.exe,1670,2008,150a,e46ebe8,22,6010,10001
2024-05-08 13:38:15.988964,explorer.exe,1670,2008,150a,e46ebf8,22,6010,10001
2024-05-08 13:38:16.020428,explorer.exe,1670,2008,1010,400d8,0,0,e46efb0
2024-05-08 13:38:16.051600,explorer.exe,1670,2008,1010,400d8,2,e46ec08,e46ed40
2024-05-08 13:38:16.082968,explorer.exe,1670,2008,1445,400d8,e46ed98,0,e46ead0
2024-05-08 13:38:16.114103,explorer.exe,1670,2008,150a,e46ebe8,22,6011,10001
2024-05-08 13:38:16.145474,explorer.exe,1670,2008,150a,e46ebf8,22,6011,10001
2024-05-08 13:38:16.176486,explorer.exe,1670,2008,1010,20258,0,0,e46efb0
2024-05-08 13:38:16.207759,explorer.exe,1670,2008,1010,20258,2,e46ec08,e46ed40
2024-05-08 13:38:16.239136,explorer.exe,1670,2008,1445,20258,e46ed98,0,e46ead0
2024-05-08 13:38:16.270375,explorer.exe,1670,2008,150a,e46ebe8,22,6011,10001
2024-05-08 13:38:16.301474,explorer.exe,1670,2008,150a,e46ebf8,22,6011,10001
2024-05-08 13:38:16.332751,explorer.exe,1670,2008,1010,20252,0,0,e46efb0
2024-05-08 13:38:16.364065,explorer.exe,1670,2008,1010,20252,2,e46ec08,e46ed40
2024-05-08 13:38:16.395208,explorer.exe,1670,2008,1445,20252,e46ed98,0,e46ead0
2024-05-08 13:38:16.426471,explorer.exe,1670,2008,150a,e46ebe8,22,6011,10001
2024-05-08 13:38:16.457826,explorer.exe,1670,2008,150a,e46ebf8,22,6011,10001
2024-05-08 13:38:16.489047,explorer.exe,1670,2008,1010,2027e,0,0,e46efb0
2024-05-08 13:38:16.520146,explorer.exe,1670,2008,1010,2027e,2,e46ec08,e46ed40
2024-05-08 13:38:16.551454,explorer.exe,1670,2008,1445,2027e,e46ed98,0,e46ead0
2024-05-08 13:38:16.582838,explorer.exe,1670,2008,150a,e46ebe8,22,6011,10001
2024-05-08 13:38:16.613990,explorer.exe,1670,2008,150a,e46ebf8,22,6011,10001
2024-05-08 13:38:16.645369,explorer.exe,1670,2008,1010,30196,0,0,e46efb0
2024-05-08 13:38:16.676494,explorer.exe,1670,2008,1010,30196,2,e46ec08,e46ed40
2024-05-08 13:38:16.707971,explorer.exe,1670,2008,1445,30196,e46ed98,0,e46ead0
2024-05-08 13:38:16.739200,dwm.exe,414,6e8,5b,2,49cf1ffb58,1,0
2024-05-08 13:38:16.770375,conhost.exe,5a4,1278,4,1a8,0,0,0
2024-05-08 13:38:16.801419,OneDrive.exe,1dc8,153c,4,bd4,0,15843ffc18,15843ffd90
2024-05-08 13:38:16.832775,conhost.exe,5a4,1278,4,1a4,0,0,0
2024-05-08 13:38:16.864046,dwm.exe,414,6e8,25,fffffffffffffffe,17,49cf1ffb90,10
2024-05-08 13:38:16.895092,dwm.exe,414,6e8,11e8,49cf1ff7b8,49cf1ff9c8,49cf1ff988,0
2024-05-08 13:38:16.926434,dwm.exe,414,6e8,1b1,27c,0,49cf1ff840,30
2024-05-08 13:38:16.957575,dwm.exe,414,6e8,111e,4,49cf1ff7d0,49cf1ff708,4ed6dc
2024-05-08 13:38:16.988852,dwm.exe,414,6e8,1131,4,49cf1ff6a0,49cf1ff6a8,49cf1ffcc0
2024-05-08 13:38:17.020027,dwm.exe,414,6e8,172,45c,49cf1ff2f0,1,49cf1ff2e0
2024-05-08 13:38:17.051262,dwm.exe,414,6e8,5b,1,1919a486020,1,0
2024-05-08 13:38:17.082785,dwm.exe,414,6e8,172,45c,49cf1ff2f0,1,49cf1ff2e0
2024-05-08 13:38:17.113796,dwm.exe,414,6e8,25,fffffffffffffffe,17,49cf1ff660,10
2024-05-08 13:38:17.145000,dwm.exe,414,6e8,1133,49cf1ff5f0,49cf1ff5e8,49cf1ff600,49cf1ff5f8
2024-05-08 13:38:17.176265,dwm.exe,414,6e8,1135,49cf1ff5f0,49cf1ff5f8,49cf1ff604,191a7eb05e8
