2024-05-03 14:53:04.501700,soffice.bin,1508,1b68,3f,6c8,1a68ad8,189d7a0,48
2024-05-03 14:53:04.532811,soffice.bin,1508,1b68,3f,6c8,92d1d50,8326300,1a
2024-05-03 14:53:04.564029,soffice.bin,1508,1b68,121,6bddc0,2000000,6bdde8,0
2024-05-03 14:53:04.595239,soffice.bin,1508,1b68,3000f,758,770f8a30,200202,770e2cec
2024-05-03 14:53:04.626532,soffice.bin,1508,1b68,1254,6bddf0,8,189de30,6bddf0
2024-05-03 14:53:04.657651,svchost.exe,17cc,1124,1cc,2a4,9e642fce10,9e642fcdc8,9e642fcdc0
2024-05-03 14:53:04.689065,ctfmon.exe,1288,da8,172,4d4,41b5aff0c0,1,41b5aff0b0
2024-05-03 14:53:04.720331,dwm.exe,410,6b4,1201,a42fbfc4e0,a42fbfc5d0,a42fbfc4e0,4000000
2024-05-03 14:53:04.751575,soffice.bin,1508,1b68,23,ffffffffffffffff,747c0000,6,6bdd00
2024-05-03 14:53:04.782883,dwm.exe,410,6b4,25,fffffffffffffffe,17,a42fbfeff0,10
2024-05-03 14:53:04.814125,soffice.bin,1508,1b68,33,6bde78,100001,6be6d0,6bde18
2024-05-03 14:53:04.845381,soffice.bin,1508,1b68,1c,ffffffffffffffff,c,189eaf4,4
2024-05-03 14:53:04.876640,soffice.bin,1508,1b68,3000f,8a4,770f8a30,200202,770e3fcc
2024-05-03 14:53:04.908101,soffice.bin,1508,1b68,3000f,8a4,770f8a30,200202,770e3fcc
2024-05-03 14:53:04.939319,soffice.bin,1508,1b68,19,ffffffffffffffff,c,189e684,4
2024-05-03 14:53:04.970382,soffice.bin,1508,1b68,143,8a4,0,0,0
2024-05-03 14:53:05.001548,fontdrvhost.ex,3c0,3e4,d,fffffffffffffffe,2c,8bdb4ffac0,8
2024-05-03 14:53:05.032923,explorer.exe,15f8,135c,121,2a0d638,20019,2a0d6d0,0
2024-05-03 14:53:05.064089,ctfmon.exe,1288,1314,16,280,7,41b57ec798,4
2024-05-03 14:53:05.095281,ctfmon.exe,1288,1314,121,41b57ec7c8,20019,41b57ec7e8,0
2024-05-03 14:53:05.126565,soffice.bin,1508,1b68,121,6bdda8,20019,6bddc8,0
2024-05-03 14:53:05.157740,soffice.bin,9d4,1254,4c,6,f4dec0,8,0
2024-05-03 14:53:05.189053,explorer.exe,15f8,1584,10aa,60242,3,58,59
2024-05-03 14:53:05.220265,soffice.bin,9d4,1254,11,370,f4dff8,18df500,18
2024-05-03 14:53:05.251630,soffice.bin,9d4,1254,4a,f4e058,f0005,0,0
2024-05-03 14:53:05.282618,SearchIndexer.,159c,5a4,4,59c,0,59bcf7e0b8,1
2024-05-03 14:53:05.313886,csrss.exe,28c,25c8,17,1a0,a1c70befc8,2,a1c70bf2f0
2024-05-03 14:53:05.345294,soffice.bin,9d4,1254,19a,3b4,5,f4df80,4
2024-05-03 14:53:05.376429,soffice.bin,9d4,1254,121,f4df88,20019,f4dfa8,0
2024-05-03 14:53:05.407681,soffice.bin,9d4,1254,17,3b4,f4e018,1,18dacb0
2024-05-03 14:53:05.438935,soffice.bin,9d4,1254,c00e9,ffffffffffffffff,69dacac0,60,770e3a2c
2024-05-03 14:53:05.469995,soffice.bin,9d4,1254,1b0007,278,0,0,0
2024-05-03 14:53:05.501152,soffice.bin,9d4,1254,3f,4c4,1ad2288,18ddc2c,48
2024-05-03 14:53:05.532538,soffice.bin,9d4,1254,3f,4c4,1ad2c28,18ddc2c,48
2024-05-03 14:53:05.563815,soffice.bin,9d4,1254,3f,4c4,1aced70,18ddca0,48
2024-05-03 14:53:05.595067,soffice.bin,9d4,1254,3f,4c4,1ad2f98,18ddca0,48
2024-05-03 14:53:05.626390,soffice.bin,9d4,1254,3f,4c4,1ad3b48,18ddc2c,48
2024-05-03 14:53:05.657557,soffice.bin,9d4,1254,3f,4c4,1aca6c0,18ddca0,48
2024-05-03 14:53:05.688828,soffice.bin,9d4,1254,3f,4c4,1ad3048,18ddca0,48
