SearchIndexer.,15f0,17ec,4,1c8,0,9db1f9fb8,1c31f5f09a0
SearchIndexer.,15f0,17ec,4,1c8,0,9db1f9fb8,1c31f5f09a0
svchost.exe,e5c,10bc,79,28f050e4e08,b98c97d768,b98c97d778,b98c97d7f0
svchost.exe,3a4,488,14b,9f4,13,ef40d7e4f0,1b0
svchost.exe,e5c,10bc,21,fffffffffffffffa,1d,b98c97d590,4
svchost.exe,3a4,488,14b,9f4,13,ef40d7e2a0,1b0
svchost.exe,e5c,10bc,79,28f050e3338,b98c97d768,b98c97d778,b98c97d7f0
MsMpEng.exe,edc,c08,25,fffffffffffffffe,18,94b94fb150,4
MsMpEng.exe,edc,c08,d,fffffffffffffffe,18,94b94fb150,4
MsMpEng.exe,edc,c08,27,de0,94b94fa568,94b94fa560,8
MsMpEng.exe,edc,c08,6,de0,0,0,0
explorer.exe,1648,14e0,1001,520fb00,0,0,0
explorer.exe,1648,175c,e,2de0,0,ce4080,1
MsMpEng.exe,edc,c08,27,de0,94b94faf18,94b94faf10,8
explorer.exe,1648,1fc0,5,e49f6c0,18,0,e49f618
explorer.exe,1648,175c,f,2de0,ffffffffffffffff,0,0
WMIADAP.exe,1094,1074,36,2,e4cfe8f2e0,158,0
WMIADAP.exe,1094,1074,34,0,e4cfe8f1a0,e4d0021000,a
hyperdbg-cli.e,1008,1c20,34,0,ebdaaffaf0,ebda548000,100
MsMpEng.exe,edc,c08,50,ffffffffffffffff,94b94fb398,94b94fb390,4
MsMpEng.exe,edc,c08,50,ffffffffffffffff,94b94fb398,94b94fb390,20
MsMpEng.exe,edc,c08,25,fffffffffffffffe,1,94b94fe9c0,20
MsMpEng.exe,edc,c08,18,ffffffffffffffff,94b94fd6c0,0,94b94fd6c8
MsMpEng.exe,edc,c08,50,ffffffffffffffff,94b94fd988,94b94fd980,2
MsMpEng.exe,edc,c08,1cd,ffffffffffffffff,94b94fd980,94b94fd988,1
MsMpEng.exe,edc,c08,1e,ffffffffffffffff,94b94fd998,94b94fd990,8000
MsMpEng.exe,edc,c08,17,844,94b94fdb08,2,94b94fdb20
MsMpEng.exe,edc,c08,13,844,4,0,94b94fdb30
MsMpEng.exe,edc,c08,50,ffffffffffffffff,94b94fc338,94b94fc330,20
MsMpEng.exe,edc,c08,25,fffffffffffffffe,18,94b94fcd40,4
MsMpEng.exe,edc,c08,d,fffffffffffffffe,18,94b94fcd40,4
MsMpEng.exe,edc,c08,27,fdc,94b94fcc78,94b94fcc70,8
MsMpEng.exe,edc,c08,6,fdc,0,0,0
MsMpEng.exe,edc,c08,d,fffffffffffffffe,18,94b94fcd30,4
MsMpEng.exe,edc,c08,25,fffffffffffffffe,1,94b94fce20,20
MsMpEng.exe,edc,c08,25,fffffffffffffffe,18,94b94f8e60,4
MsMpEng.exe,edc,c08,18,ffffffffffffffff,94b94fc4b0,0,94b94fc4a0
MsMpEng.exe,edc,c08,27,fdc,94b94fc5a8,94b94fc5a0,8
MsMpEng.exe,edc,c08,50,ffffffffffffffff,94b94fd360,94b94fd358,2
MsMpEng.exe,edc,c08,39,de0,0,0,0
MsMpEng.exe,edc,c08,16,608,7,94b94fd6e8,4
MsMpEng.exe,edc,c08,f,de0,ffffffffffffffff,0,0
MsMpEng.exe,edc,c08,17,de0,94b94fda18,2,22450566190
lsass.exe,2e0,30c,1a1,14,9,5a1b27f758,4
lsass.exe,2e0,30c,d,fffffffffffffffe,2c,19fc72ad748,8
MsMpEng.exe,edc,c08,6,fdc,0,0,0
MsMpEng.exe,edc,c08,7,de0,0,0,0
MsMpEng.exe,edc,c08,f,c50,ffffffffffffffff,0,0
svchost.exe,9b4,bf8,121,87a36fe1b8,20019,87a36fe1d8,0
MsMpEng.exe,edc,1d58,48,94ba37e868,1f0003,0,0
MsMpEng.exe,edc,1d58,24,fffffffffffffffe,2000c,1,94ba37e960
MsMpEng.exe,edc,1d58,171,1c,1,0,ffff0000
MsMpEng.exe,edc,1d58,4,ce8,0,0,94ba37ea28
MsMpEng.exe,edc,1544,3e,d80,70,0,0
MsMpEng.exe,edc,1544,24,fffffffffffffffe,e,7ff9e7870501,2244f837a10
MsMpEng.exe,edc,1544,8c,e38,0,22445ab1af0,2244f837818
MsMpEng.exe,edc,1544,48,94b97ff4b8,1f0003,0,0
MsMpEng.exe,edc,1544,ca,2244b3a8960,1,0,0
MsMpEng.exe,edc,1544,24,fffffffffffffffe,2000c,1,94b97ff568
MsMpEng.exe,edc,1544,ca,2244b3a8000,1,0,0
svchost.exe,928,21c0,89,1d4,0,7431e7f698,10
MsMpEng.exe,edc,1544,24,fffffffffffffffe,2000c,1,94b97ff568
dwm.exe,418,6e0,1131,4,d70227f680,d70227f688,d70227fca0
dwm.exe,418,6e0,172,45c,d70227f2d0,1,d70227f2c0
dwm.exe,418,6e0,5b,1,1f23015ff30,1,0
dwm.exe,418,6e0,172,45c,d70227f2d0,1,d70227f2c0
MsMpEng.exe,edc,11ac,121,94b947f2d8,1,94b947f2f8,0
MsMpEng.exe,edc,11ac,16,368,4,94b947f180,28
dwm.exe,418,6e0,5b,5,1f23015ff30,1,0
WMIADAP.exe,1094,1074,17,268,e4cfe8f1d8,2,e4cfe8f090
MOM.exe,2284,22b0,1486,0,0,64,10ff
OneDrive.exe,2060,21b4,4,c2c,0,9278aff668,9278aff7e0
WMIADAP.exe,1094,1074,36,2,e4cfe8f438,158,0
WMIADAP.exe,1094,1074,34,0,e4cfe8f1a0,e4d0021000,a
WMIADAP.exe,1094,1074,17,268,e4cfe8f1d8,2,e4cfe8f090
hyperdbg-cli.e,1008,1c20,7,1f4,0,0,0
SearchIndexer.,15f0,1650,1b0,20,9dabff848,0,9dabff878
OneDrive.exe,2060,21b4,4,c2c,0,9278aff668,9278aff7e0
WMIADAP.exe,1094,1074,36,2,e4cfe8f2e0,158,0
SearchIndexer.,15f0,1650,1b0,20,9dabff780,0,9dabff788
hyperdbg-cli.e,1008,1c20,4,1f4,0,0,1f4
WMIADAP.exe,1094,1074,34,0,e4cfe8f1a0,e4d0021000,a
SearchIndexer.,15f0,1650,90,24,10,20,1c315620c68
hyperdbg-cli.e,1008,1c20,7,574,578,0,0
SearchIndexer.,15f0,1650,e,2e4,0,1c3157f4b00,1
hyperdbg-cli.e,1008,1c20,34,0,ebdaaffaf0,ebda548000,100
SearchIndexer.,15f0,1650,e,900,0,9dabff758,9dabffa48
SearchIndexer.,15f0,1650,1b0,20,9dabff730,0,9dabff738
