2024-05-26 19:26:15.609186,MsMpEng.exe,e58,16c4,3f,754,1e7000,1aaa7712ad0,1000
2024-05-26 19:26:15.640409,MsMpEng.exe,e58,16c4,5b,1,46597fceb0,1,0
2024-05-26 19:26:15.671637,powershell.exe,123c,1ec4,7,60,0,0,0
2024-05-26 19:26:15.702896,MsMpEng.exe,e58,16c4,11,754,46597fd018,46597fd030,68
2024-05-26 19:26:15.734185,MsMpEng.exe,e58,16c4,49,754,46597fd028,46597fd0b0,18
2024-05-26 19:26:15.765387,MsMpEng.exe,e58,16c4,1e,ffffffffffffffff,46597fce38,46597fce30,4000
2024-05-26 19:26:15.796586,MsMpEng.exe,e58,16c4,1e,ffffffffffffffff,46597fce38,46597fce30,4000
2024-05-26 19:26:15.827879,MsMpEng.exe,e58,16c4,5b,3,46597fa0d0,1,0
2024-05-26 19:26:15.859119,powershell.exe,123c,1ec4,7,60,0,0,0
2024-05-26 19:26:15.890369,MsMpEng.exe,e58,16c4,d,fffffffffffffffe,19,46597f9bd0,4
2024-05-26 19:26:15.921537,MsMpEng.exe,e58,16c4,3f,36c,7ff6c5c32000,1aaa770dad0,1000
2024-05-26 19:26:15.952891,MsMpEng.exe,e58,16c4,d,fffffffffffffffe,19,46597f9bfc,4
2024-05-26 19:26:15.984083,MsMpEng.exe,e58,16c4,20,6fc,0,100,60
2024-05-26 19:26:16.015332,MsMpEng.exe,e58,16c4,5b,3,46597f93d0,1,0
2024-05-26 19:26:16.046553,MsMpEng.exe,e58,16c4,18,ffffffffffffffff,46597f9830,0,46597f98d8
2024-05-26 19:26:16.077834,MsMpEng.exe,e58,16c4,5b,1,46597fa1d0,1,0
2024-05-26 19:26:16.109084,conhost.exe,1c24,b64,7,4,0,0,0
2024-05-26 19:26:16.140291,MsMpEng.exe,e58,16c4,d,fffffffffffffffe,19,46597fd11c,4
2024-05-26 19:26:16.171570,MsMpEng.exe,e58,16c4,25,fffffffffffffffe,19,46597fd11c,4
2024-05-26 19:26:16.202802,MsMpEng.exe,e58,16c4,d,fffffffffffffffe,19,46597fd0f0,4
