2024-04-18 08:27:03.707673,explorer.exe,1588,6e8,121,d17d398,20119,d17d3b8,0
2024-04-18 08:27:03.738867,explorer.exe,1588,6e8,f,21c4,ffffffffffffffff,0,0
2024-04-18 08:27:03.770199,explorer.exe,1588,6e8,1001,d17d7f0,0,0,0
2024-04-18 08:27:03.801371,explorer.exe,1588,6e8,5,d17d600,18,0,d17d618
2024-04-18 08:27:03.832612,explorer.exe,1588,6e8,5,d17d490,18,0,d17d4a8
2024-04-18 08:27:03.863855,explorer.exe,1588,6e8,5,d17d620,18,0,d17d638
2024-04-18 08:27:03.895099,explorer.exe,1588,6e8,10dd,d17d618,0,0,0
2024-04-18 08:27:03.926365,explorer.exe,1588,6e8,10dd,d17d618,0,0,0
2024-04-18 08:27:03.957583,explorer.exe,1588,6e8,5,d17d470,18,0,d17d488
2024-04-18 08:27:03.988754,explorer.exe,1588,6e8,5,d17d490,18,0,d17d4a8
2024-04-18 08:27:04.020018,explorer.exe,1588,6e8,10dd,d17d618,0,0,0
2024-04-18 08:27:04.051272,explorer.exe,1588,6e8,5,d17d620,18,0,d17d638
2024-04-18 08:27:04.082517,explorer.exe,1588,6e8,1001,d17d680,0,0,0
2024-04-18 08:27:04.113768,explorer.exe,1588,6e8,5,d17d490,18,0,d17d4a8
2024-04-18 08:27:04.145006,explorer.exe,1588,6e8,1001,d17d660,0,0,0
2024-04-18 08:27:04.176407,explorer.exe,1588,6e8,5,d17d620,18,0,d17d638
2024-04-18 08:27:04.207478,dwm.exe,418,7b4,1133,cbe3bff360,cbe3bff358,cbe3bff370,cbe3bff350
2024-04-18 08:27:04.238748,explorer.exe,1588,6e8,16,9cc,7,d17d368,4
2024-04-18 08:27:04.269968,explorer.exe,1588,6e8,19a,21c4,5,d17d390,4
2024-04-18 08:27:04.301229,explorer.exe,1588,6e8,10dd,d17d488,0,0,0
2024-04-18 08:27:04.332451,explorer.exe,1588,6e8,5,d17d470,18,0,d17d488
2024-04-18 08:27:04.363623,explorer.exe,1588,6e8,5,d17d620,18,0,d17d638
2024-04-18 08:27:04.394916,svchost.exe,ea4,c9c,1d5,1c,1da2cea58c0,10,601a6ff848
2024-04-18 08:27:04.426227,explorer.exe,1588,6e8,5,d17d920,18,0,d17d938
2024-04-18 08:27:04.457479,explorer.exe,1588,6e8,16,1948,4,d17d630,28
2024-04-18 08:27:04.488686,explorer.exe,1588,6e8,19a,1948,5,d17d6b0,4
2024-04-18 08:27:04.519865,explorer.exe,1588,6e8,10dd,d17d7c8,0,0,0
2024-04-18 08:27:04.551223,explorer.exe,1588,6e8,f,1948,ffffffffffffffff,0,0
2024-04-18 08:27:04.582435,explorer.exe,1588,6e8,1001,d17d980,0,0,0
2024-04-18 08:27:04.613645,explorer.exe,1588,6e8,5,d17d790,18,0,d17d7a8
2024-04-18 08:27:04.644911,explorer.exe,1588,6e8,5,d17d790,18,0,d17d7a8
2024-04-18 08:27:04.676106,explorer.exe,1588,6e8,1001,d17db10,0,0,0
2024-04-18 08:27:04.707402,explorer.exe,1588,6e8,121,d17d6b8,20119,d17d6d8,0
2024-04-18 08:27:04.738585,explorer.exe,1588,6e8,f,1948,ffffffffffffffff,0,0
2024-04-18 08:27:04.769840,svchost.exe,244,1634,d,fffffffffffffffe,2c,201c7c6a038,8
2024-04-18 08:27:04.801103,explorer.exe,1588,6e8,19a,1948,5,d17d6b0,4
2024-04-18 08:27:04.832289,explorer.exe,1588,6e8,1001,d17db10,0,0,0
2024-04-18 08:27:04.863574,explorer.exe,1588,6e8,5,d17d7b0,18,0,d17d7c8
2024-04-18 08:27:04.894818,explorer.exe,1588,6e8,1001,d17db10,0,0,0
2024-04-18 08:27:04.926055,explorer.exe,1588,6e8,10dd,d17d7c8,0,0,0
2024-04-18 08:27:04.957286,explorer.exe,1588,6e8,10dd,d17d938,0,0,0
2024-04-18 08:27:04.988563,explorer.exe,1588,1bfc,27,1948,123ecff8,123ecff0,8
2024-04-18 08:27:05.019726,SearchFilterHo,c3c,1764,31,86e38fdf70,0,373dc,7fffc2520248
2024-04-18 08:27:05.051061,explorer.exe,1588,6e8,6,25f8,0,0,0
2024-04-18 08:27:05.082323,explorer.exe,1588,6e8,6,25f8,0,0,0
2024-04-18 08:27:05.113531,explorer.exe,1588,6e8,6,25f8,0,0,0
2024-04-18 08:27:05.144919,explorer.exe,1588,6e8,6,25f8,0,0,0
2024-04-18 08:27:05.176114,explorer.exe,1588,6e8,6,25f8,0,0,0
2024-04-18 08:27:05.207178,explorer.exe,1588,6e8,6,25f8,0,0,0
2024-04-18 08:27:05.238474,explorer.exe,1588,6e8,5b,1,d17bbc0,1,0
2024-04-18 08:27:05.269715,explorer.exe,1588,6e8,121,d17b508,1,d17b5a0,0
2024-04-18 08:27:05.301000,MsMpEng.exe,ef0,8f4,121,873d97da28,2001f,873d97da48,0
2024-04-18 08:27:05.332194,explorer.exe,1588,6e8,f,274c,0,3ddb1a5,d17b6e8
2024-04-18 08:27:05.363371,lsass.exe,2e0,2334,86,f84,2370bbbbc70,0,2334
2024-04-18 08:27:05.394686,fontdrvhost.ex,3cc,54,1109,0,13fc7ff5e8,9,13
2024-04-18 08:27:05.425890,explorer.exe,1588,6e8,5b,2,d17ba20,1,0
2024-04-18 08:27:05.457165,MsMpEng.exe,ef0,bf4,25,fffffffffffffffe,18,873c77da20,4
2024-04-18 08:27:05.488349,explorer.exe,1588,156c,103f,30010cad,7,c99e2b8,0
2024-04-18 08:27:05.519655,explorer.exe,1588,164c,1052,ffffffff8705083b,20,2dddbe0,0
2024-04-18 08:27:05.550879,explorer.exe,1588,156c,1038,30010cad,46,57,1004
