2024-04-18 07:29:45.648722,soffice.bin,23a4,23a8,5,15bd088,18,0,10010
2024-04-18 07:29:45.680050,soffice.bin,23a4,23a8,70020,f38,0,206,77292bbc
2024-04-18 07:29:45.711328,soffice.bin,23a4,23a8,70020,f38,0,206,77292bbc
2024-04-18 07:29:45.742457,soffice.bin,23a4,23a8,70020,f38,0,206,77292bbc
2024-04-18 07:29:45.773749,soffice.bin,23a4,23a8,3000f,f98,772a8a30,206,772936dc
2024-04-18 07:29:45.805067,soffice.bin,23a4,23a8,10,94,1,31c100,210
2024-04-18 07:29:45.836244,soffice.bin,23a4,23a8,31023,340a1066,766a6320,212,766a17dc
2024-04-18 07:29:45.867449,soffice.bin,23a4,23a8,23,ffffffffffffffff,2ff0000,3,31c2c0
2024-04-18 07:29:45.898610,dwm.exe,418,6d0,1143,6,203f1dbd9b0,0,203f1dbd9b0
2024-04-18 07:29:45.929902,soffice.bin,23a4,23a8,1524,501ae,ffffffeb,2e413920,0
2024-04-18 07:29:45.961161,soffice.bin,23a4,23a8,17,fec,31c358,2,388cc0
2024-04-18 07:29:45.992442,soffice.bin,23a4,23a8,106a,1b0,2,15bc2e0,208
2024-04-18 07:29:46.023654,soffice.bin,23a4,23a8,16,b22,3,15baa70,180
2024-04-18 07:29:46.054947,explorer.exe,1588,164c,1029,5010161,0,0,10
2024-04-18 07:29:46.086212,soffice.bin,23a4,23a8,16,1072,7,31cc10,4
2024-04-18 07:29:46.117434,dwm.exe,418,7cc,5,cbe3cff3f0,18,0,0
2024-04-18 07:29:46.148617,soffice.bin,23a4,23a8,10,c8a,1,31c070,210
2024-04-18 07:29:46.179902,dwm.exe,418,6d0,111f,4,cbe37af1e8,cbe37af1e0,0
2024-04-18 07:29:46.211179,soffice.bin,23a4,23a8,710aa,203ea,2,202,2cc
2024-04-18 07:29:46.242440,soffice.bin,23a4,23a8,141030,20594,1,15bc680,0
2024-04-18 07:29:46.273644,soffice.bin,23a4,23a8,71046,2063a,a912,212,766a142c
2024-04-18 07:29:46.304791,dwm.exe,418,7b4,172,45c,cbe3bff540,1,cbe3bff530
2024-04-18 07:29:46.336232,soffice.bin,23a4,2568,17,110c,1b50ea08,2,3866e290
2024-04-18 07:29:46.367307,soffice.bin,23a4,2568,121,1b50e990,2000000,1b50e9b8,0
2024-04-18 07:29:46.398556,soffice.bin,23a4,23a8,a1,31b800,31b730,27f,a454a2f6358c
2024-04-18 07:29:46.429736,soffice.bin,23a4,23a8,a1,3169a0,3168d0,27f,a454a2f6358c
2024-04-18 07:29:46.460995,soffice.bin,23a4,20f0,121,123be300,20119,123be328,0
2024-04-18 07:29:46.492241,soffice.bin,23a4,2564,40070,2244,772a8a30,212,766a15fc
2024-04-18 07:29:46.523479,soffice.bin,23a4,2564,16,1308,7,1b38e278,4
2024-04-18 07:29:46.554829,soffice.bin,23a4,20f0,16,1346,7,123be2e8,4
2024-04-18 07:29:46.585974,soffice.bin,23a4,23a8,3000f,13a4,772a8a30,200216,77292cdc
2024-04-18 07:29:46.617342,soffice.bin,23a4,23a8,121,31dd90,20006,31ddb8,0
2024-04-18 07:29:46.648581,soffice.bin,23a4,23a8,3000f,13dc,772a8a30,200202,77292cec
2024-04-18 07:29:46.679719,soffice.bin,23a4,23a8,a1,3166d0,316600,27f,a454a2f6358c
2024-04-18 07:29:46.710941,soffice.bin,23a4,23a8,a1,31b740,31b670,27f,a454a2f6358c
2024-04-18 07:29:46.742213,soffice.bin,23a4,23a8,5,15bc3d8,18,0,10010
2024-04-18 07:29:46.773551,soffice.bin,23a4,2568,19a,13e8,5,1b50ea48,4
2024-04-18 07:29:46.804723,soffice.bin,23a4,23a8,1038,4a010f5e,0,0,1004
2024-04-18 07:29:46.836020,soffice.bin,23a4,2244,1097,f010a60,0,0,2e320488
2024-04-18 07:29:46.867171,soffice.bin,23a4,23a8,141013,205ba,15bd63c,0,5
2024-04-18 07:29:46.898375,soffice.bin,23a4,23a8,48,31a9f8,1f0003,0,0
2024-04-18 07:29:46.929657,soffice.bin,23a4,23a8,a1,318430,318360,27f,a454a2f6358c
2024-04-18 07:29:46.961038,soffice.bin,23a4,23a8,1007,405de,14,260110c7,0
2024-04-18 07:29:46.992238,dwm.exe,418,7cc,8c,468,0,0,0
2024-04-18 07:29:47.023447,soffice.bin,23a4,23a8,71039,3e0110e0,280a10be,200206,766a12ec
2024-04-18 07:29:47.054581,soffice.bin,23a4,23a8,106d,3e0110e0,f00021,31cd10,1
2024-04-18 07:29:47.085873,dwm.exe,418,7cc,172,b70,cbe3cff500,1,cbe3cff4f0
2024-04-18 07:29:47.117173,soffice.bin,23a4,23a8,a1,316980,3168b0,27f,a454a2f6358c
2024-04-18 07:29:47.148401,soffice.bin,23a4,23a8,1001,31de00,0,0,0
2024-04-18 07:29:47.179701,soffice.bin,23a4,23a8,1007,205b4,20,205ce,2000001
2024-04-18 07:29:47.210953,soffice.bin,23a4,23a8,5,15bdf88,18,0,10010
2024-04-18 07:29:47.242181,soffice.bin,23a4,23a8,a1,31b740,31b670,27f,a454a2f6358c
2024-04-18 07:29:47.273407,soffice.bin,23a4,23a8,5,15bdf98,18,0,10010
2024-04-18 07:29:47.304505,soffice.bin,23a4,23a8,5,15bd5d8,18,0,10010
2024-04-18 07:29:47.335746,soffice.bin,23a4,23a8,41000,7,766a6320,200212,766a10ec
2024-04-18 07:29:47.367093,soffice.bin,23a4,23a8,1007,205bc,407,0,15bde14
2024-04-18 07:29:47.398396,soffice.bin,23a4,23a8,a1,31b740,31b670,27f,a454a2f6358c
2024-04-18 07:29:47.429734,soffice.bin,23a4,23a8,5,15bdcf0,18,0,10010
